player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Sergi Gómez,#24,Centre-Back,Espanyol,LaLiga,10,-,-,1,-,1,,,900'
Mikel Merino,#8,Central Midfield,Real Sociedad,LaLiga,10,1,-,2,-,-,,,891'
Alexander Isak,#19,Centre-Forward,Real Sociedad,LaLiga,7,1,1,1,-,-,,,451'
Samuel Chukwueze,#11,Right Winger,Villarreal,LaLiga,2,-,-,-,-,-,,,81'
Robin Le Normand,#24,Centre-Back,Real Sociedad,LaLiga,10,-,-,3,-,-,,,900'
Portu,#7,Right Winger,Real Sociedad,LaLiga,10,-,-,2,-,-,,,522'
Álex Remiro,#1,Goalkeeper,Real Sociedad,LaLiga,9,-,,-,-,-,7,6,810'
Igor Zubeldia,#5,Defensive Midfield,Real Sociedad,LaLiga,5,-,1,-,-,-,,,202'
Martín Zubimendi,#3,Defensive Midfield,Real Sociedad,LaLiga,9,-,1,1,-,-,,,608'
Oier Zarraga,#19,Central Midfield,Athletic,LaLiga,8,-,-,-,-,-,,,153'
Julen Agirrezabala,#13,Goalkeeper,Bilbao Athletic,Primera Div. R.F.E.F. - Gr. I,6,-,,-,-,-,9,1,540'
Thibaut Courtois,#1,Goalkeeper,Real Madrid,LaLiga,9,-,,1,-,-,11,2,810'
Jokin Ezkieta,#13,Goalkeeper,Athletic,LaLiga,-,-,,-,-,-,-,-,-
Mikel Balenziaga,#24,Left-Back,Athletic,LaLiga,8,-,-,-,-,-,,,683'
Álex Fernández,#8,Attacking Midfield,Cádiz CF,LaLiga,8,2,-,-,-,-,,,426'
Jeremías Ledesma,#1,Goalkeeper,Cádiz CF,LaLiga,10,-,,-,-,-,15,2,900'
Jens Jönsson,#2,Defensive Midfield,Cádiz CF,LaLiga,9,-,1,-,-,-,,,485'
Sergi Darder,#10,Central Midfield,Espanyol,LaLiga,10,-,-,-,-,-,,,862'
Santiago Arzamendia,#19,Left-Back,Cádiz CF,LaLiga,3,-,-,-,-,-,,,136'
Choco Lozano,#9,Centre-Forward,Cádiz CF,LaLiga,8,1,1,1,-,-,,,395'
Fali,#3,Centre-Back,Cádiz CF,LaLiga,9,-,-,1,-,-,,,700'
Salvi Sánchez,#7,Right Winger,Cádiz CF,LaLiga,10,-,1,-,-,-,,,783'
Rubén Sobrino,#21,Centre-Forward,Cádiz CF,LaLiga,7,-,-,1,-,-,,,483'
Rodrygo,#21,Right Winger,Real Madrid,LaLiga,9,-,1,2,-,-,,,318'
Daniel Carvajal,#2,Right-Back,Real Madrid,LaLiga,5,1,-,-,-,-,,,231'
Karim Benzema,#9,Centre-Forward,Real Madrid,LaLiga,9,9,7,-,-,-,,,799'
Luka Jovic,#16,Centre-Forward,Real Madrid,LaLiga,5,-,1,-,-,-,,,60'
Gareth Bale,#18,Right Winger,Real Madrid,LaLiga,3,1,-,1,-,-,,,193'
