player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
M'Baye Niang,#23,Centre-Forward,G. Bordeaux,Ligue 1,1,-,-,-,-,-,,,16'
Timothée Pembélé,#22,Centre-Back,G. Bordeaux,Ligue 1,10,1,-,-,-,-,,,542'
Romain Faivre,#21,Left Midfield,Stade Brestois,Ligue 1,10,3,4,1,-,-,,,876'
Franck Honorat,#9,Right Winger,Stade Brestois,Ligue 1,11,3,1,2,-,-,,,946'
Steve Mounié,#15,Centre-Forward,Stade Brestois,Ligue 1,9,1,1,-,-,-,,,727'
Irvin Cardona,#14,Centre-Forward,Stade Brestois,Ligue 1,11,2,-,-,-,-,,,629'
Gautier Larsonneur,#1,Goalkeeper,Stade Brestois,Ligue 1,-,-,,1,-,-,-,-,-
Marco Bizot,#40,Goalkeeper,Stade Brestois,Ligue 1,11,-,,1,-,-,20,-,990'
Boubacar Traoré,#8,Central Midfield,FC Metz,Ligue 1,9,-,-,1,-,-,,,280'
Romain Del Castillo,#25,Right Winger,Stade Brestois,Ligue 1,5,-,-,-,-,-,,,160'
Ronaël Pierre-Gabriel,#18,Right-Back,Stade Brestois,Ligue 1,10,-,-,3,-,-,,,851'
Lucien Agoume,#10,Defensive Midfield,Stade Brestois,Ligue 1,6,-,-,1,-,-,,,407'
Christophe Hérelle,#23,Centre-Back,Stade Brestois,Ligue 1,1,-,-,1,-,-,,,71'
Cesc Fàbregas,#4,Central Midfield,Monaco,Champions League Qu.,2,-,-,-,-,-,,,37'
Jean Marcelin,#15,Centre-Back,Monaco,,,,,,,,,,
Jean Lucas,#11,Central Midfield,Monaco,Ligue 1,8,-,-,1,-,-,,,430'
Radoslaw Majecki,#1,Goalkeeper,Monaco,Champions League Qu.,1,-,,-,-,-,1,-,90'
Pelé,#28,Defensive Midfield,Monaco,,,,,,,,,,
Wilson Isidor,#39,Centre-Forward,Monaco,Ligue 1,2,-,-,-,-,-,,,41'
Valentin Decarpentrie,#35,"Jun 30, 2022",Monaco,National 2 - Grp. C,1,-,-,-,-,-,,,34'
Valon Berisha,#14,Central Midfield,Stade Reims,Ligue 1,8,-,-,-,-,-,,,193'
Julian Pollersbeck,#30,Goalkeeper,Olympique Lyon,Ligue 1,2,-,,-,-,-,1,1,104'
El Bilal Touré,#7,Centre-Forward,Stade Reims,Ligue 1,6,-,-,1,-,-,,,355'
Vito Mannone,#30,Goalkeeper,Monaco,Europa League,-,-,,-,-,-,-,-,-
Malo Gusto,#17,Right-Back,Olympique Lyon,Ligue 1,6,-,-,-,-,-,,,334'
Florent Da Silva,#28,Central Midfield,Olympique Lyon,National 2 - Grp. C,8,1,2,-,-,-,,,606'
Habib Keïta,#19,Central Midfield,Olympique Lyon,National 2 - Grp. C,4,1,-,2,-,-,,,327'
Malcolm Barcola,#16,Goalkeeper,Olympique Lyon,National 2 - Grp. C,4,-,,-,-,-,5,-,360'
Jean-Kevin Duverne,#2,Centre-Back,Stade Brestois,Ligue 1,11,-,-,-,-,-,,,694'
Paul Bernardoni,#1,Goalkeeper,SCO Angers,Ligue 1,11,-,,-,-,-,13,4,990'
Stéphane Bahoken,#19,Centre-Forward,SCO Angers,Ligue 1,11,2,-,-,-,-,,,267'
Castello Lukeba,#4,Centre-Back,Olympique Lyon,Ligue 1,2,-,-,1,-,-,,,135'
Sofiane Boufal,#7,Left Winger,SCO Angers,Ligue 1,10,2,2,2,-,-,,,734'
