player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Nunoo Sarpei,#14,Defensive Midfield,Greuther Fürth,Bundesliga,3,-,-,1,-,-,,,193'
Sascha Burchert,#30,Goalkeeper,Greuther Fürth,Bundesliga,6,-,,-,-,-,16,-,540'
Peter Pekarik,#2,Right-Back,Hertha BSC,Bundesliga,3,-,-,-,-,-,,,193'
Max Christiansen,#13,Central Midfield,Greuther Fürth,Bundesliga,4,-,-,-,-,-,,,113'
Abdourahmane Barry,#32,Centre-Back,Greuther Fürth,Bundesliga,3,-,-,2,-,-,,,63'
Simon Asta,#2,Right-Back,Greuther Fürth,Regionalliga Bayern,2,-,1,-,-,-,,,180'
Marius Funk,#1,Goalkeeper,Greuther Fürth,Bundesliga,1,-,,-,-,-,3,-,90'
Mads Pedersen,#3,Left-Back,FC Augsburg,Bundesliga,7,-,-,-,-,-,,,274'
Robin Kehr,#7,Centre-Forward,Greuther Fürth,Regionalliga Bayern,1,-,-,-,-,-,,,8'
Lasse Schulz,#41,Goalkeeper,Greuther Fürth,Regionalliga Bayern,8,-,,-,-,-,18,1,720'
Luca Philipp,#37,Goalkeeper,TSG Hoffenheim,Regionalliga Südwest,9,-,,-,-,-,11,2,810'
Fabian Klos,#9,Centre-Forward,Arm. Bielefeld,Bundesliga,7,1,1,1,-,-,,,573'
Guilherme Ramos,#3,Centre-Back,Arm. Bielefeld,DFB-Pokal,1,-,-,-,-,-,,,-
Nathan de Medina,#15,Right-Back,Arm. Bielefeld,Bundesliga,5,-,-,-,-,-,,,149'
Stefanos Kapino,#13,Goalkeeper,Arm. Bielefeld,Bundesliga,-,-,,-,-,-,-,-,-
Arne Schulz,#35,Goalkeeper,Arm. Bielefeld,U19 Ligapokal West,3,-,,-,-,-,7,1,270'
Vladislav Cherny,#37,"Jun 30, 2024",Arm. Bielefeld,U19 Ligapokal West,3,-,-,-,-,-,,,270'
Silvère Ganvoula,#35,Centre-Forward,VfL Bochum,Bundesliga,3,-,-,-,-,-,,,39'
Ádám Szalai,#28,Centre-Forward,1.FSV Mainz 05,Bundesliga,4,1,-,-,-,-,,,192'
Merveille Papela,#24,Central Midfield,1.FSV Mainz 05,Regionalliga Südwest,4,1,-,2,-,-,,,332'
Lasse Rieß,#32,Goalkeeper,1.FSV Mainz 05,Regionalliga Südwest,9,-,,-,-,-,12,3,773'
Luca Kilian,#15,Centre-Back,1. FC Köln,Bundesliga,4,-,-,-,-,-,,,169'
Marvin Schwäbe,#20,Goalkeeper,1. FC Köln,DFB-Pokal,1,-,,-,-,-,1,-,120'
Kingsley Schindler,#17,Right Winger,1. FC Köln,Bundesliga,2,-,-,-,-,-,,,20'
Rune Jarstein,#22,Goalkeeper,Hertha BSC,,,,,,,,,,
Tomas Ostrak,#31,Attacking Midfield,1. FC Köln,Bundesliga,2,-,1,-,-,-,,,10'
Niklas Hauptmann,#36,Central Midfield,1. FC Köln,,,,,,,,,,
Marvin Obuz,#30,Left Winger,1. FC Köln,Regionalliga West,7,5,2,-,-,-,,,591'
Jonas Urbig,,Goalkeeper,1.FC Köln U19,Regionalliga West,2,-,,-,-,-,6,-,180'
Mert-Yusuf Torlak,#39,Attacking Midfield,Greuther Fürth,Regionalliga Bayern,8,1,1,2,-,-,,,478'
Tim Lemperle,#25,Right Winger,1. FC Köln,Bundesliga,3,1,-,-,-,-,,,54'
Matthias Köbbing,#24,Goalkeeper,1.FC Köln II,,,,,,,,,,
Raman Chibsah,#13,Central Midfield,VfL Bochum,Bundesliga,-,-,-,-,-,-,,,-
Ruwen Werthmüller,#36,Centre-Forward,Hertha BSC,Regionalliga Nordost,6,-,-,-,-,-,,,317'
Soma Novothny,#15,Centre-Forward,VfL Bochum,Bundesliga,-,-,-,-,-,-,,,-
Tarsis Bonga,#32,Right Winger,VfL Bochum,,,,,,,,,,
Tom Weilandt,#14,Right Winger,VfL Bochum,,,,,,,,,,
Bryan Lasme,#10,Right Winger,Arm. Bielefeld,Bundesliga,7,-,-,1,-,-,,,297'
Luis Hartwig,#28,Centre-Forward,VfL Bochum,,,,,,,,,,
Paul Grave,#34,Goalkeeper,VfL Bochum,,,,,,,,,,
Elias Kratzer,#29,Right-Back,Greuther Fürth,Regionalliga Bayern,3,-,1,-,-,-,,,223'
Leon Schaffran,#25,Goalkeeper,Greuther Fürth,Regionalliga Bayern,2,-,,-,-,-,2,-,180'
Timothy Tillman,#21,Attacking Midfield,Greuther Fürth,Bundesliga,2,-,2,-,-,-,,,77'
Robert Tesche,#23,Central Midfield,VfL Bochum,Bundesliga,5,-,-,1,-,1,,,215'
Vasilios Lampropoulos,#24,Centre-Back,VfL Bochum,Bundesliga,5,-,-,-,-,-,,,449'
Anthony Losilla,#8,Defensive Midfield,VfL Bochum,Bundesliga,7,-,-,-,-,-,,,597'
Patrick Osterhage,#6,Central Midfield,VfL Bochum,Bundesliga,1,-,-,-,-,-,,,8'
Daniel Brosinski,#18,Right-Back,1.FSV Mainz 05,Bundesliga,2,-,-,-,-,-,,,166'
